,AI.PA,AIR.PA,BN.PA,BNP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,KER.PA,MC.PA,OR.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STLA.PA,SU.PA,TTE.PA,VIV.PA
2018-10-18,-0.004226369272695612,-0.0154871763684753,0.009596978163926191,-0.007589209440052839,0.0019966763122201475,-0.005112504966226811,-0.005174692073347068,0.0021593616397981652,-0.03332744402652799,-0.012379931755473915,-0.005608256442351048,0.006904585664290428,-0.012900791729809208,-0.010974019276107137,0.007612499946926198,-0.036262781653408134,0.0,-0.018919921836171732,-0.012422517322703237,0.0013720001974238192
2018-10-19,-0.005189899269244522,-0.013789133097309605,0.015479689139884805,-0.010209379449656511,-0.008457589939032173,-0.00513877704691776,0.0004322554290398846,0.01115408759283867,-0.015700588712883518,0.008966982265483056,0.024339858197046847,0.010646441978604745,-0.00426961336340982,-0.011560822401075971,0.0,-0.007599848077570396,0.0,-0.02856864571767883,0.000568069572992233,-0.0004570661351893158
2018-10-22,0.004719217494180755,-0.01688498301095224,-0.010398704929238528,-0.00865713279032627,0.005127634349444133,-0.011920303953177749,-0.0060684794599085105,-0.008138806636557014,0.018702381423122576,0.0,-0.001569464352310106,0.0033981302383832403,0.0006110975083986497,0.006028318940262893,-0.006447475337246021,0.0009336688602199601,0.0,-0.0030025093930141377,-0.014298212776783753,-0.013812426809495905
2018-10-23,-0.01184006647544783,-0.022789100733764448,-0.004285388057504638,-0.01554298058966111,-0.015010968098468058,-0.029900390337317204,-0.0572607524769288,0.02757332690409977,-0.03861052783471391,-0.019950833724256833,-0.006566011770890558,-0.024033153431975523,-0.011262533159145627,-0.027655895213476004,-0.0036289102712354577,-0.01204928824869518,0.0,-0.01108695784341956,-0.01977959434984303,-0.012596409356281231
2018-10-24,0.0033294265858171456,0.012351681844557453,0.0038101598616796352,-0.023400393060945268,-0.008614904318386442,0.03639645049519994,0.015985742988794557,0.01040592116111682,0.04675168541841376,0.006181229493795929,0.00026348597889625614,0.006925721546857523,0.008611867281278492,0.03914763264108109,-0.011754006291329245,-0.023414324790430274,0.0,-0.024971351473268275,-0.008259672925805654,0.011668744249908231
2018-10-25,0.022536119844688583,0.0272203598676333,0.0036377982521406966,0.014848314472261325,0.005223206100618141,0.014399774847118602,0.026382042425045434,0.0,0.029558818257066757,0.022091998232234684,0.014125251473203227,0.016730521094840634,0.02699061004945073,0.014068717937313343,-0.006193618105605346,0.01678024601019414,0.0,0.0721514778444919,0.01509093731618998,-0.003719201237470033
2018-10-26,-0.009797125139888535,-0.018445583297177447,-0.011751789788532467,-0.005848854056028123,-0.012306465760858006,-0.011554806996585352,-0.034114629462314985,-0.0024875888081060363,-0.00975620713342461,-0.01136591080571526,-0.017820145786771782,0.006014963946741091,-0.006579663434985171,-0.011330282410837927,-0.01585540425559651,0.014474736740763213,0.0,-0.010366195948025327,-0.015288396021048166,-0.009829196229417789
2018-10-29,-0.0094207038047883,-0.0033336804415711623,-0.013833207470926095,0.012612056504881428,0.007993612858693782,0.005665670742406712,-0.031071365250695135,-0.0033263556365910676,0.010543060401481176,-0.0019069417553000676,-0.005302239185834096,-0.015106028127413448,-0.00380798918539849,-0.017007980775054325,-0.0004029656770204041,0.02788020718866783,0.0,0.012297924337899831,0.006889082890383335,0.01029486464986042
2018-10-30,-0.0037932200685544216,-0.020345404998734194,0.008708281105490483,-0.0284146019200122,-0.00045507300636232615,0.008438915569540958,-0.00047115332562655695,-0.0033375209807493624,-0.01399359545866466,-0.007664340665968768,-0.009078899247925423,0.009844858740121731,0.0030075210639553224,0.007390362059416274,0.015200284522318312,-0.0025857214474118016,0.0,0.005133147203806899,-0.004718802717798998,-0.006070490787437915
2018-10-31,0.016490279926654763,0.03977349612215016,0.004805440134603992,-0.00032510191346547275,0.0077080445699289875,0.004319614667934974,0.04379592624211047,0.009151465425446427,0.04548009898026893,0.033478211447056205,0.06490728566626527,0.015701302776619012,0.0109508311867517,0.048505254742043064,0.04236106084031838,0.012411233195312043,0.0,0.023091316909336506,0.02375958693165892,-0.000468504518137671
